"Destination","FlightNumber","Code","Delay","lat","lng","country","Date","Time","Airline","Armenian","DayOfWeek","Status"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-17,"20:00:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-25,"11:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-21,"09:25:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-18,"08:50:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-12-03,"22:20:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-23,"20:35:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-24,"20:35:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-24,"20:00:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-01,"11:50:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Delay","24.4667","54.3667","United Arab Emirates",2023-11-11,"22:20:00","Wizz Air",0,"Saturday","Delay"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-03,"20:35:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-04,"10:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7188","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-02,"20:35:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-11,"10:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-12-01,"12:25:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-07,"11:50:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-18,"09:25:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-12,"22:20:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7187","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-31,"22:20:00","Wizz Air",0,"Tuesday","Ontime"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-13,"20:00:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-23,"11:40:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-30,"11:50:00","Wizz Air",0,"Thursday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-28,"08:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-29,"11:50:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-26,"22:55:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7014","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-10-25,"09:25:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7188","AUH","Cancelled","24.4667","54.3667","United Arab Emirates",2023-12-04,"20:35:00","Wizz Air",0,"Monday","Cancelled"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-10-30,"11:50:00","Wizz Air",0,"Monday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-26,"10:35:00","Wizz Air",0,"Sunday","Ontime"
"Abu Dhabi","5W 7013","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-25,"10:50:00","Wizz Air",0,"Saturday","Ontime"
"Abu Dhabi","5W 7188","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-17,"20:35:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7013","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-24,"11:50:00","Wizz Air",0,"Friday","Ontime"
"Abu Dhabi","5W 7014","AUH","Cancelled","24.4667","54.3667","United Arab Emirates",2023-11-13,"12:25:00","Wizz Air",0,"Monday","Cancelled"
"Abu Dhabi","5W 7187","AUH","Departed","24.4667","54.3667","United Arab Emirates",2023-11-29,"20:00:00","Wizz Air",0,"Wednesday","Ontime"
"Abu Dhabi","5W 7014","AUH","Ontime","24.4667","54.3667","United Arab Emirates",2023-11-22,"12:25:00","Wizz Air",0,"Wednesday","Ontime"
